kab_kota,tahun,bulan,TB_SO,TB_RO,total_TB,proporsi_RO,bulan_num,date
Kota Bandung,2023,Januari,1646.0,25.0,1671.0,0.014961101137043686,1,2023-01-01
Kota Bandung,2023,Februari,1305.0,23.0,1328.0,0.017319277108433735,2,2023-02-01
Kota Bandung,2023,Maret,1487.0,15.0,1502.0,0.009986684420772303,3,2023-03-01
Kota Bandung,2023,April,1107.0,16.0,1123.0,0.014247551202137132,4,2023-04-01
Kota Bandung,2023,Mei,1610.0,18.0,1628.0,0.011056511056511056,5,2023-05-01
Kota Bandung,2023,Juni,1312.0,20.0,1332.0,0.015015015015015015,6,2023-06-01
Kota Bandung,2023,Juli,1493.0,15.0,1508.0,0.009946949602122016,7,2023-07-01
Kota Bandung,2023,Agustus,1527.0,22.0,1549.0,0.014202711426726921,8,2023-08-01
Kota Bandung,2023,September,1521.0,14.0,1535.0,0.009120521172638436,9,2023-09-01
Kota Bandung,2023,Oktober,1741.0,12.0,1753.0,0.0068454078722190535,10,2023-10-01
Kota Bandung,2023,November,1712.0,24.0,1736.0,0.013824884792626729,11,2023-11-01
Kota Bandung,2023,Desember,1392.0,12.0,1404.0,0.008547008547008548,12,2023-12-01
Kota Banjar,2023,Januari,109.0,0.0,109.0,0.0,1,2023-01-01
Kota Banjar,2023,Februari,69.0,0.0,69.0,0.0,2,2023-02-01
Kota Banjar,2023,Maret,61.0,0.0,61.0,0.0,3,2023-03-01
Kota Banjar,2023,April,57.0,1.0,58.0,0.017241379310344827,4,2023-04-01
Kota Banjar,2023,Mei,76.0,2.0,78.0,0.02564102564102564,5,2023-05-01
Kota Banjar,2023,Juni,74.0,3.0,77.0,0.03896103896103896,6,2023-06-01
Kota Banjar,2023,Juli,109.0,3.0,112.0,0.026785714285714284,7,2023-07-01
Kota Banjar,2023,Agustus,128.0,4.0,132.0,0.030303030303030304,8,2023-08-01
Kota Banjar,2023,September,122.0,1.0,123.0,0.008130081300813009,9,2023-09-01
Kota Banjar,2023,Oktober,148.0,10.0,158.0,0.06329113924050633,10,2023-10-01
Kota Banjar,2023,November,94.0,2.0,96.0,0.020833333333333332,11,2023-11-01
Kota Banjar,2023,Desember,94.0,2.0,96.0,0.020833333333333332,12,2023-12-01
Kota Bekasi,2023,Januari,1409.0,14.0,1423.0,0.009838369641602248,1,2023-01-01
Kota Bekasi,2023,Februari,1086.0,24.0,1110.0,0.021621621621621623,2,2023-02-01
Kota Bekasi,2023,Maret,1183.0,21.0,1204.0,0.01744186046511628,3,2023-03-01
Kota Bekasi,2023,April,910.0,17.0,927.0,0.018338727076591153,4,2023-04-01
Kota Bekasi,2023,Mei,1308.0,25.0,1333.0,0.018754688672168042,5,2023-05-01
Kota Bekasi,2023,Juni,1120.0,12.0,1132.0,0.01060070671378092,6,2023-06-01
Kota Bekasi,2023,Juli,1355.0,22.0,1377.0,0.01597676107480029,7,2023-07-01
Kota Bekasi,2023,Agustus,1301.0,31.0,1332.0,0.023273273273273273,8,2023-08-01
Kota Bekasi,2023,September,1190.0,13.0,1203.0,0.010806317539484621,9,2023-09-01
Kota Bekasi,2023,Oktober,1126.0,7.0,1133.0,0.00617828773168579,10,2023-10-01
Kota Bekasi,2023,November,1025.0,14.0,1039.0,0.013474494706448507,11,2023-11-01
Kota Bekasi,2023,Desember,903.0,16.0,919.0,0.017410228509249184,12,2023-12-01
Kota Bogor,2023,Januari,829.0,12.0,841.0,0.014268727705112961,1,2023-01-01
Kota Bogor,2023,Februari,771.0,17.0,788.0,0.021573604060913704,2,2023-02-01
Kota Bogor,2023,Maret,774.0,16.0,790.0,0.020253164556962026,3,2023-03-01
Kota Bogor,2023,April,651.0,12.0,663.0,0.01809954751131222,4,2023-04-01
Kota Bogor,2023,Mei,925.0,27.0,952.0,0.028361344537815126,5,2023-05-01
Kota Bogor,2023,Juni,787.0,13.0,800.0,0.01625,6,2023-06-01
Kota Bogor,2023,Juli,859.0,23.0,882.0,0.026077097505668934,7,2023-07-01
Kota Bogor,2023,Agustus,960.0,11.0,971.0,0.01132852729145211,8,2023-08-01
Kota Bogor,2023,September,914.0,19.0,933.0,0.020364415862808145,9,2023-09-01
Kota Bogor,2023,Oktober,972.0,16.0,988.0,0.016194331983805668,10,2023-10-01
Kota Bogor,2023,November,922.0,22.0,944.0,0.023305084745762712,11,2023-11-01
Kota Bogor,2023,Desember,750.0,17.0,767.0,0.02216427640156454,12,2023-12-01
Kota Cimahi,2023,Januari,484.0,4.0,488.0,0.00819672131147541,1,2023-01-01
Kota Cimahi,2023,Februari,383.0,4.0,387.0,0.0103359173126615,2,2023-02-01
Kota Cimahi,2023,Maret,405.0,2.0,407.0,0.004914004914004914,3,2023-03-01
Kota Cimahi,2023,April,317.0,1.0,318.0,0.0031446540880503146,4,2023-04-01
Kota Cimahi,2023,Mei,424.0,5.0,429.0,0.011655011655011656,5,2023-05-01
Kota Cimahi,2023,Juni,387.0,8.0,395.0,0.020253164556962026,6,2023-06-01
Kota Cimahi,2023,Juli,357.0,6.0,363.0,0.01652892561983471,7,2023-07-01
Kota Cimahi,2023,Agustus,374.0,7.0,381.0,0.01837270341207349,8,2023-08-01
Kota Cimahi,2023,September,371.0,2.0,373.0,0.005361930294906166,9,2023-09-01
Kota Cimahi,2023,Oktober,381.0,6.0,387.0,0.015503875968992248,10,2023-10-01
Kota Cimahi,2023,November,342.0,5.0,347.0,0.01440922190201729,11,2023-11-01
Kota Cimahi,2023,Desember,290.0,7.0,297.0,0.02356902356902357,12,2023-12-01
Kota Cirebon,2023,Januari,343.0,9.0,352.0,0.02556818181818182,1,2023-01-01
Kota Cirebon,2023,Februari,336.0,6.0,342.0,0.017543859649122806,2,2023-02-01
Kota Cirebon,2023,Maret,311.0,7.0,318.0,0.0220125786163522,3,2023-03-01
Kota Cirebon,2023,April,220.0,4.0,224.0,0.017857142857142856,4,2023-04-01
Kota Cirebon,2023,Mei,367.0,4.0,371.0,0.01078167115902965,5,2023-05-01
Kota Cirebon,2023,Juni,289.0,5.0,294.0,0.017006802721088437,6,2023-06-01
Kota Cirebon,2023,Juli,366.0,11.0,377.0,0.029177718832891247,7,2023-07-01
Kota Cirebon,2023,Agustus,376.0,8.0,384.0,0.020833333333333332,8,2023-08-01
Kota Cirebon,2023,September,373.0,4.0,377.0,0.010610079575596816,9,2023-09-01
Kota Cirebon,2023,Oktober,371.0,6.0,377.0,0.015915119363395226,10,2023-10-01
Kota Cirebon,2023,November,349.0,11.0,360.0,0.030555555555555555,11,2023-11-01
Kota Cirebon,2023,Desember,299.0,9.0,308.0,0.02922077922077922,12,2023-12-01
Kota Depok,2023,Januari,766.0,11.0,777.0,0.014157014157014158,1,2023-01-01
Kota Depok,2023,Februari,629.0,10.0,639.0,0.01564945226917058,2,2023-02-01
Kota Depok,2023,Maret,684.0,12.0,696.0,0.017241379310344827,3,2023-03-01
Kota Depok,2023,April,518.0,6.0,524.0,0.011450381679389313,4,2023-04-01
Kota Depok,2023,Mei,683.0,14.0,697.0,0.020086083213773313,5,2023-05-01
Kota Depok,2023,Juni,619.0,10.0,629.0,0.01589825119236884,6,2023-06-01
Kota Depok,2023,Juli,590.0,12.0,602.0,0.019933554817275746,7,2023-07-01
Kota Depok,2023,Agustus,665.0,14.0,679.0,0.020618556701030927,8,2023-08-01
Kota Depok,2023,September,620.0,8.0,628.0,0.012738853503184714,9,2023-09-01
Kota Depok,2023,Oktober,761.0,9.0,770.0,0.011688311688311689,10,2023-10-01
Kota Depok,2023,November,577.0,20.0,597.0,0.03350083752093802,11,2023-11-01
Kota Depok,2023,Desember,532.0,10.0,542.0,0.01845018450184502,12,2023-12-01
Kota Sukabumi,2023,Januari,288.0,2.0,290.0,0.006896551724137931,1,2023-01-01
Kota Sukabumi,2023,Februari,224.0,8.0,232.0,0.034482758620689655,2,2023-02-01
Kota Sukabumi,2023,Maret,299.0,8.0,307.0,0.026058631921824105,3,2023-03-01
Kota Sukabumi,2023,April,205.0,2.0,207.0,0.00966183574879227,4,2023-04-01
Kota Sukabumi,2023,Mei,315.0,6.0,321.0,0.018691588785046728,5,2023-05-01
Kota Sukabumi,2023,Juni,222.0,3.0,225.0,0.013333333333333334,6,2023-06-01
Kota Sukabumi,2023,Juli,336.0,2.0,338.0,0.005917159763313609,7,2023-07-01
Kota Sukabumi,2023,Agustus,312.0,2.0,314.0,0.006369426751592357,8,2023-08-01
Kota Sukabumi,2023,September,308.0,4.0,312.0,0.01282051282051282,9,2023-09-01
Kota Sukabumi,2023,Oktober,318.0,5.0,323.0,0.015479876160990712,10,2023-10-01
Kota Sukabumi,2023,November,299.0,4.0,303.0,0.013201320132013201,11,2023-11-01
Kota Sukabumi,2023,Desember,251.0,5.0,256.0,0.01953125,12,2023-12-01
Kota Tasikmalaya,2023,Januari,400.0,9.0,409.0,0.022004889975550123,1,2023-01-01
Kota Tasikmalaya,2023,Februari,379.0,5.0,384.0,0.013020833333333334,2,2023-02-01
Kota Tasikmalaya,2023,Maret,397.0,2.0,399.0,0.005012531328320802,3,2023-03-01
Kota Tasikmalaya,2023,April,266.0,2.0,268.0,0.007462686567164179,4,2023-04-01
Kota Tasikmalaya,2023,Mei,419.0,8.0,427.0,0.01873536299765808,5,2023-05-01
Kota Tasikmalaya,2023,Juni,374.0,3.0,377.0,0.007957559681697613,6,2023-06-01
Kota Tasikmalaya,2023,Juli,382.0,5.0,387.0,0.012919896640826873,7,2023-07-01
Kota Tasikmalaya,2023,Agustus,399.0,9.0,408.0,0.022058823529411766,8,2023-08-01
Kota Tasikmalaya,2023,September,409.0,3.0,412.0,0.007281553398058253,9,2023-09-01
Kota Tasikmalaya,2023,Oktober,430.0,9.0,439.0,0.02050113895216401,10,2023-10-01
Kota Tasikmalaya,2023,November,426.0,7.0,433.0,0.016166281755196306,11,2023-11-01
Kota Tasikmalaya,2023,Desember,387.0,9.0,396.0,0.022727272727272728,12,2023-12-01
Kab. Bandung,2024,Januari,1159.0,9.0,1168.0,0.007705479452054794,1,2024-01-01
Kab. Bandung,2024,Februari,1036.0,10.0,1046.0,0.009560229445506692,2,2024-02-01
Kab. Bandung,2024,Maret,1105.0,8.0,1113.0,0.0071877807726864335,3,2024-03-01
Kab. Bandung,2024,April,1106.0,11.0,1117.0,0.009847806624888093,4,2024-04-01
Kab. Bandung,2024,Mei,1291.0,10.0,1301.0,0.007686395080707148,5,2024-05-01
Kab. Bandung,2024,Juni,1091.0,2.0,1093.0,0.0018298261665141812,6,2024-06-01
Kab. Bandung,2024,Juli,1302.0,13.0,1315.0,0.00988593155893536,7,2024-07-01
Kab. Bandung,2024,Agustus,1153.0,13.0,1166.0,0.011149228130360206,8,2024-08-01
Kab. Bandung,2024,September,1212.0,11.0,1223.0,0.008994276369582993,9,2024-09-01
Kab. Bandung,2024,Oktober,1458.0,15.0,1473.0,0.010183299389002037,10,2024-10-01
Kab. Bandung,2024,November,1221.0,7.0,1228.0,0.005700325732899023,11,2024-11-01
Kab. Bandung,2024,Desember,1140.0,13.0,1153.0,0.011274934952298352,12,2024-12-01
Kab. Bandung Barat,2024,Januari,430.0,3.0,433.0,0.006928406466512702,1,2024-01-01
Kab. Bandung Barat,2024,Februari,388.0,5.0,393.0,0.01272264631043257,2,2024-02-01
Kab. Bandung Barat,2024,Maret,568.0,0.0,568.0,0.0,3,2024-03-01
Kab. Bandung Barat,2024,April,352.0,4.0,356.0,0.011235955056179775,4,2024-04-01
Kab. Bandung Barat,2024,Mei,377.0,3.0,380.0,0.007894736842105263,5,2024-05-01
Kab. Bandung Barat,2024,Juni,342.0,2.0,344.0,0.005813953488372093,6,2024-06-01
Kab. Bandung Barat,2024,Juli,359.0,2.0,361.0,0.00554016620498615,7,2024-07-01
Kab. Bandung Barat,2024,Agustus,358.0,2.0,360.0,0.005555555555555556,8,2024-08-01
Kab. Bandung Barat,2024,September,354.0,0.0,354.0,0.0,9,2024-09-01
Kab. Bandung Barat,2024,Oktober,403.0,2.0,405.0,0.0049382716049382715,10,2024-10-01
Kab. Bandung Barat,2024,November,377.0,3.0,380.0,0.007894736842105263,11,2024-11-01
Kab. Bandung Barat,2024,Desember,340.0,4.0,344.0,0.011627906976744186,12,2024-12-01
Kab. Bekasi,2024,Januari,1321.0,5.0,1326.0,0.003770739064856712,1,2024-01-01
Kab. Bekasi,2024,Februari,1202.0,19.0,1221.0,0.015561015561015561,2,2024-02-01
Kab. Bekasi,2024,Maret,1279.0,12.0,1291.0,0.009295120061967466,3,2024-03-01
Kab. Bekasi,2024,April,1210.0,10.0,1220.0,0.00819672131147541,4,2024-04-01
Kab. Bekasi,2024,Mei,1384.0,19.0,1403.0,0.0135424091233072,5,2024-05-01
Kab. Bekasi,2024,Juni,1181.0,18.0,1199.0,0.015012510425354461,6,2024-06-01
Kab. Bekasi,2024,Juli,1332.0,18.0,1350.0,0.013333333333333334,7,2024-07-01
Kab. Bekasi,2024,Agustus,1246.0,14.0,1260.0,0.011111111111111112,8,2024-08-01
Kab. Bekasi,2024,September,1290.0,14.0,1304.0,0.010736196319018405,9,2024-09-01
Kab. Bekasi,2024,Oktober,1445.0,15.0,1460.0,0.010273972602739725,10,2024-10-01
Kab. Bekasi,2024,November,1362.0,17.0,1379.0,0.012327773749093546,11,2024-11-01
Kab. Bekasi,2024,Desember,1268.0,17.0,1285.0,0.013229571984435798,12,2024-12-01
Kab. Bogor,2024,Januari,2507.0,53.0,2560.0,0.020703125,1,2024-01-01
Kab. Bogor,2024,Februari,2175.0,51.0,2226.0,0.022911051212938006,2,2024-02-01
Kab. Bogor,2024,Maret,2249.0,54.0,2303.0,0.02344767694311767,3,2024-03-01
Kab. Bogor,2024,April,2296.0,62.0,2358.0,0.026293469041560644,4,2024-04-01
Kab. Bogor,2024,Mei,2772.0,67.0,2839.0,0.023599859105318775,5,2024-05-01
Kab. Bogor,2024,Juni,2294.0,42.0,2336.0,0.01797945205479452,6,2024-06-01
Kab. Bogor,2024,Juli,2674.0,59.0,2733.0,0.021587998536406878,7,2024-07-01
Kab. Bogor,2024,Agustus,2485.0,50.0,2535.0,0.01972386587771203,8,2024-08-01
Kab. Bogor,2024,September,2424.0,57.0,2481.0,0.022974607013301087,9,2024-09-01
Kab. Bogor,2024,Oktober,2665.0,68.0,2733.0,0.024881083058909622,10,2024-10-01
Kab. Bogor,2024,November,2224.0,41.0,2265.0,0.018101545253863136,11,2024-11-01
Kab. Bogor,2024,Desember,2407.0,48.0,2455.0,0.019551934826883912,12,2024-12-01
Kab. Ciamis,2024,Januari,296.0,4.0,300.0,0.013333333333333334,1,2024-01-01
Kab. Ciamis,2024,Februari,272.0,0.0,272.0,0.0,2,2024-02-01
Kab. Ciamis,2024,Maret,261.0,2.0,263.0,0.0076045627376425855,3,2024-03-01
Kab. Ciamis,2024,April,272.0,1.0,273.0,0.003663003663003663,4,2024-04-01
Kab. Ciamis,2024,Mei,320.0,1.0,321.0,0.003115264797507788,5,2024-05-01
Kab. Ciamis,2024,Juni,260.0,2.0,262.0,0.007633587786259542,6,2024-06-01
Kab. Ciamis,2024,Juli,304.0,1.0,305.0,0.003278688524590164,7,2024-07-01
Kab. Ciamis,2024,Agustus,307.0,1.0,308.0,0.003246753246753247,8,2024-08-01
Kab. Ciamis,2024,September,322.0,1.0,323.0,0.0030959752321981426,9,2024-09-01
Kab. Ciamis,2024,Oktober,277.0,0.0,277.0,0.0,10,2024-10-01
Kab. Ciamis,2024,November,272.0,0.0,272.0,0.0,11,2024-11-01
Kab. Ciamis,2024,Desember,308.0,4.0,312.0,0.01282051282051282,12,2024-12-01
Kab. Cianjur,2024,Januari,913.0,11.0,924.0,0.011904761904761904,1,2024-01-01
Kab. Cianjur,2024,Februari,791.0,7.0,798.0,0.008771929824561403,2,2024-02-01
Kab. Cianjur,2024,Maret,918.0,14.0,932.0,0.015021459227467811,3,2024-03-01
Kab. Cianjur,2024,April,983.0,13.0,996.0,0.013052208835341365,4,2024-04-01
Kab. Cianjur,2024,Mei,1066.0,20.0,1086.0,0.01841620626151013,5,2024-05-01
Kab. Cianjur,2024,Juni,948.0,10.0,958.0,0.010438413361169102,6,2024-06-01
Kab. Cianjur,2024,Juli,1042.0,20.0,1062.0,0.018832391713747645,7,2024-07-01
Kab. Cianjur,2024,Agustus,1051.0,20.0,1071.0,0.018674136321195144,8,2024-08-01
Kab. Cianjur,2024,September,1002.0,13.0,1015.0,0.012807881773399015,9,2024-09-01
Kab. Cianjur,2024,Oktober,1074.0,16.0,1090.0,0.014678899082568808,10,2024-10-01
Kab. Cianjur,2024,November,1083.0,19.0,1102.0,0.017241379310344827,11,2024-11-01
Kab. Cianjur,2024,Desember,973.0,13.0,986.0,0.013184584178498986,12,2024-12-01
Kab. Cirebon,2024,Januari,835.0,12.0,847.0,0.014167650531286895,1,2024-01-01
Kab. Cirebon,2024,Februari,768.0,11.0,779.0,0.014120667522464698,2,2024-02-01
Kab. Cirebon,2024,Maret,847.0,11.0,858.0,0.01282051282051282,3,2024-03-01
Kab. Cirebon,2024,April,794.0,14.0,808.0,0.017326732673267328,4,2024-04-01
Kab. Cirebon,2024,Mei,853.0,8.0,861.0,0.009291521486643438,5,2024-05-01
Kab. Cirebon,2024,Juni,738.0,12.0,750.0,0.016,6,2024-06-01
Kab. Cirebon,2024,Juli,795.0,13.0,808.0,0.01608910891089109,7,2024-07-01
Kab. Cirebon,2024,Agustus,755.0,3.0,758.0,0.00395778364116095,8,2024-08-01
Kab. Cirebon,2024,September,734.0,2.0,736.0,0.002717391304347826,9,2024-09-01
Kab. Cirebon,2024,Oktober,833.0,4.0,837.0,0.0047789725209080045,10,2024-10-01
Kab. Cirebon,2024,November,813.0,12.0,825.0,0.014545454545454545,11,2024-11-01
Kab. Cirebon,2024,Desember,866.0,13.0,879.0,0.01478953356086462,12,2024-12-01
Kab. Garut,2024,Januari,867.0,9.0,876.0,0.010273972602739725,1,2024-01-01
Kab. Garut,2024,Februari,784.0,10.0,794.0,0.012594458438287154,2,2024-02-01
Kab. Garut,2024,Maret,712.0,11.0,723.0,0.015214384508990318,3,2024-03-01
Kab. Garut,2024,April,666.0,10.0,676.0,0.014792899408284023,4,2024-04-01
Kab. Garut,2024,Mei,860.0,9.0,869.0,0.010356731875719217,5,2024-05-01
Kab. Garut,2024,Juni,699.0,9.0,708.0,0.012711864406779662,6,2024-06-01
Kab. Garut,2024,Juli,818.0,6.0,824.0,0.007281553398058253,7,2024-07-01
Kab. Garut,2024,Agustus,746.0,5.0,751.0,0.006657789613848202,8,2024-08-01
Kab. Garut,2024,September,783.0,5.0,788.0,0.006345177664974619,9,2024-09-01
Kab. Garut,2024,Oktober,886.0,8.0,894.0,0.008948545861297539,10,2024-10-01
Kab. Garut,2024,November,936.0,3.0,939.0,0.003194888178913738,11,2024-11-01
Kab. Garut,2024,Desember,767.0,9.0,776.0,0.011597938144329897,12,2024-12-01
Kab. Indramayu,2024,Januari,562.0,3.0,565.0,0.005309734513274336,1,2024-01-01
Kab. Indramayu,2024,Februari,428.0,4.0,432.0,0.009259259259259259,2,2024-02-01
Kab. Indramayu,2024,Maret,525.0,6.0,531.0,0.011299435028248588,3,2024-03-01
Kab. Indramayu,2024,April,575.0,4.0,579.0,0.0069084628670120895,4,2024-04-01
Kab. Indramayu,2024,Mei,549.0,8.0,557.0,0.01436265709156194,5,2024-05-01
Kab. Indramayu,2024,Juni,437.0,7.0,444.0,0.015765765765765764,6,2024-06-01
Kab. Indramayu,2024,Juli,577.0,8.0,585.0,0.013675213675213675,7,2024-07-01
Kab. Indramayu,2024,Agustus,521.0,10.0,531.0,0.018832391713747645,8,2024-08-01
Kab. Indramayu,2024,September,520.0,7.0,527.0,0.013282732447817837,9,2024-09-01
Kab. Indramayu,2024,Oktober,666.0,5.0,671.0,0.007451564828614009,10,2024-10-01
Kab. Indramayu,2024,November,614.0,11.0,625.0,0.0176,11,2024-11-01
Kab. Indramayu,2024,Desember,517.0,6.0,523.0,0.011472275334608031,12,2024-12-01
Kab. Karawang,2024,Januari,1287.0,13.0,1300.0,0.01,1,2024-01-01
Kab. Karawang,2024,Februari,1051.0,19.0,1070.0,0.017757009345794394,2,2024-02-01
Kab. Karawang,2024,Maret,1042.0,12.0,1054.0,0.011385199240986717,3,2024-03-01
Kab. Karawang,2024,April,1038.0,11.0,1049.0,0.010486177311725452,4,2024-04-01
Kab. Karawang,2024,Mei,1223.0,12.0,1235.0,0.009716599190283401,5,2024-05-01
Kab. Karawang,2024,Juni,1017.0,7.0,1024.0,0.0068359375,6,2024-06-01
Kab. Karawang,2024,Juli,1201.0,7.0,1208.0,0.005794701986754967,7,2024-07-01
Kab. Karawang,2024,Agustus,1070.0,18.0,1088.0,0.016544117647058824,8,2024-08-01
Kab. Karawang,2024,September,1063.0,17.0,1080.0,0.01574074074074074,9,2024-09-01
Kab. Karawang,2024,Oktober,1220.0,14.0,1234.0,0.011345218800648298,10,2024-10-01
Kab. Karawang,2024,November,1155.0,14.0,1169.0,0.011976047904191617,11,2024-11-01
Kab. Karawang,2024,Desember,1214.0,10.0,1224.0,0.008169934640522876,12,2024-12-01
Kab. Kuningan,2024,Januari,329.0,2.0,331.0,0.006042296072507553,1,2024-01-01
Kab. Kuningan,2024,Februari,295.0,0.0,295.0,0.0,2,2024-02-01
Kab. Kuningan,2024,Maret,304.0,2.0,306.0,0.006535947712418301,3,2024-03-01
Kab. Kuningan,2024,April,305.0,3.0,308.0,0.00974025974025974,4,2024-04-01
Kab. Kuningan,2024,Mei,335.0,7.0,342.0,0.02046783625730994,5,2024-05-01
Kab. Kuningan,2024,Juni,300.0,1.0,301.0,0.0033222591362126247,6,2024-06-01
Kab. Kuningan,2024,Juli,336.0,5.0,341.0,0.01466275659824047,7,2024-07-01
Kab. Kuningan,2024,Agustus,376.0,3.0,379.0,0.0079155672823219,8,2024-08-01
Kab. Kuningan,2024,September,378.0,1.0,379.0,0.002638522427440633,9,2024-09-01
Kab. Kuningan,2024,Oktober,418.0,1.0,419.0,0.002386634844868735,10,2024-10-01
Kab. Kuningan,2024,November,368.0,4.0,372.0,0.010752688172043012,11,2024-11-01
Kab. Kuningan,2024,Desember,327.0,1.0,328.0,0.003048780487804878,12,2024-12-01
Kab. Majalengka,2024,Januari,419.0,1.0,420.0,0.002380952380952381,1,2024-01-01
Kab. Majalengka,2024,Februari,364.0,2.0,366.0,0.00546448087431694,2,2024-02-01
Kab. Majalengka,2024,Maret,386.0,3.0,389.0,0.007712082262210797,3,2024-03-01
Kab. Majalengka,2024,April,390.0,3.0,393.0,0.007633587786259542,4,2024-04-01
Kab. Majalengka,2024,Mei,376.0,7.0,383.0,0.018276762402088774,5,2024-05-01
Kab. Majalengka,2024,Juni,334.0,4.0,338.0,0.011834319526627219,6,2024-06-01
Kab. Majalengka,2024,Juli,342.0,3.0,345.0,0.008695652173913044,7,2024-07-01
Kab. Majalengka,2024,Agustus,342.0,4.0,346.0,0.011560693641618497,8,2024-08-01
Kab. Majalengka,2024,September,335.0,5.0,340.0,0.014705882352941176,9,2024-09-01
Kab. Majalengka,2024,Oktober,417.0,5.0,422.0,0.011848341232227487,10,2024-10-01
Kab. Majalengka,2024,November,330.0,4.0,334.0,0.011976047904191617,11,2024-11-01
Kab. Majalengka,2024,Desember,387.0,1.0,388.0,0.002577319587628866,12,2024-12-01
Kab. Pangandaran,2024,Januari,87.0,1.0,88.0,0.011363636363636364,1,2024-01-01
Kab. Pangandaran,2024,Februari,78.0,2.0,80.0,0.025,2,2024-02-01
Kab. Pangandaran,2024,Maret,88.0,0.0,88.0,0.0,3,2024-03-01
Kab. Pangandaran,2024,April,61.0,0.0,61.0,0.0,4,2024-04-01
Kab. Pangandaran,2024,Mei,110.0,1.0,111.0,0.009009009009009009,5,2024-05-01
Kab. Pangandaran,2024,Juni,68.0,1.0,69.0,0.014492753623188406,6,2024-06-01
Kab. Pangandaran,2024,Juli,94.0,1.0,95.0,0.010526315789473684,7,2024-07-01
Kab. Pangandaran,2024,Agustus,65.0,0.0,65.0,0.0,8,2024-08-01
Kab. Pangandaran,2024,September,61.0,0.0,61.0,0.0,9,2024-09-01
Kab. Pangandaran,2024,Oktober,81.0,2.0,83.0,0.024096385542168676,10,2024-10-01
Kab. Pangandaran,2024,November,94.0,1.0,95.0,0.010526315789473684,11,2024-11-01
Kab. Pangandaran,2024,Desember,82.0,0.0,82.0,0.0,12,2024-12-01
Kab. Purwakarta,2024,Januari,410.0,1.0,411.0,0.0024330900243309003,1,2024-01-01
Kab. Purwakarta,2024,Februari,314.0,1.0,315.0,0.0031746031746031746,2,2024-02-01
Kab. Purwakarta,2024,Maret,356.0,4.0,360.0,0.011111111111111112,3,2024-03-01
Kab. Purwakarta,2024,April,389.0,4.0,393.0,0.010178117048346057,4,2024-04-01
Kab. Purwakarta,2024,Mei,420.0,2.0,422.0,0.004739336492890996,5,2024-05-01
Kab. Purwakarta,2024,Juni,357.0,4.0,361.0,0.0110803324099723,6,2024-06-01
Kab. Purwakarta,2024,Juli,416.0,2.0,418.0,0.004784688995215311,7,2024-07-01
Kab. Purwakarta,2024,Agustus,421.0,3.0,424.0,0.007075471698113208,8,2024-08-01
Kab. Purwakarta,2024,September,456.0,3.0,459.0,0.006535947712418301,9,2024-09-01
Kab. Purwakarta,2024,Oktober,453.0,3.0,456.0,0.006578947368421052,10,2024-10-01
Kab. Purwakarta,2024,November,386.0,2.0,388.0,0.005154639175257732,11,2024-11-01
Kab. Purwakarta,2024,Desember,465.0,7.0,472.0,0.014830508474576272,12,2024-12-01
Kab. Subang,2024,Januari,564.0,7.0,571.0,0.012259194395796848,1,2024-01-01
Kab. Subang,2024,Februari,455.0,2.0,457.0,0.00437636761487965,2,2024-02-01
Kab. Subang,2024,Maret,475.0,3.0,478.0,0.006276150627615063,3,2024-03-01
Kab. Subang,2024,April,399.0,6.0,405.0,0.014814814814814815,4,2024-04-01
Kab. Subang,2024,Mei,572.0,8.0,580.0,0.013793103448275862,5,2024-05-01
Kab. Subang,2024,Juni,529.0,5.0,534.0,0.009363295880149813,6,2024-06-01
Kab. Subang,2024,Juli,588.0,5.0,593.0,0.008431703204047217,7,2024-07-01
Kab. Subang,2024,Agustus,576.0,2.0,578.0,0.0034602076124567475,8,2024-08-01
Kab. Subang,2024,September,455.0,5.0,460.0,0.010869565217391304,9,2024-09-01
Kab. Subang,2024,Oktober,708.0,10.0,718.0,0.013927576601671309,10,2024-10-01
Kab. Subang,2024,November,559.0,4.0,563.0,0.007104795737122558,11,2024-11-01
Kab. Subang,2024,Desember,551.0,4.0,555.0,0.007207207207207207,12,2024-12-01
Kab. Sukabumi,2024,Januari,999.0,11.0,1010.0,0.01089108910891089,1,2024-01-01
Kab. Sukabumi,2024,Februari,834.0,20.0,854.0,0.0234192037470726,2,2024-02-01
Kab. Sukabumi,2024,Maret,993.0,20.0,1013.0,0.019743336623889437,3,2024-03-01
Kab. Sukabumi,2024,April,869.0,13.0,882.0,0.01473922902494331,4,2024-04-01
Kab. Sukabumi,2024,Mei,1187.0,15.0,1202.0,0.012479201331114808,5,2024-05-01
Kab. Sukabumi,2024,Juni,967.0,11.0,978.0,0.011247443762781187,6,2024-06-01
Kab. Sukabumi,2024,Juli,1120.0,14.0,1134.0,0.012345679012345678,7,2024-07-01
Kab. Sukabumi,2024,Agustus,1151.0,15.0,1166.0,0.012864493996569469,8,2024-08-01
Kab. Sukabumi,2024,September,1128.0,10.0,1138.0,0.008787346221441126,9,2024-09-01
Kab. Sukabumi,2024,Oktober,1173.0,9.0,1182.0,0.007614213197969543,10,2024-10-01
Kab. Sukabumi,2024,November,948.0,6.0,954.0,0.006289308176100629,11,2024-11-01
Kab. Sukabumi,2024,Desember,1046.0,6.0,1052.0,0.005703422053231939,12,2024-12-01
